34	1639	2602714556700227743
33	1614	1236472189813512351
32	1575	180352746940718527
31	1471	118303688851791519
30	1445	1008932249296231
29	1187	739448869367967
28	1177	70665924117439
27	1161	31835572457967
26	1122	13179928405231
25	988	2081751768559
24	897	898696369947
23	892	12235060455
22	729	2788008987
21	706	1827397567
20	649	1200991791
19	644	217740015
18	613	63728127
17	502	56924955
16	486	26716671
15	476	20638335
14	468	13421671
13	401	8088063
12	365	1126015
11	298	1027431
10	287	626331
9	282	381727
8	269	362343
7	267	270271
6	220	35655
5	171	10087
4	132	703
3	96	27
2	11	7
1	6	3
