97	2358909599867980429759	988229361387264324637139131613488937796184	0.178	71	140	David Bařina
96	1765856170146672440559	788340337342148717335104033908060039028328	0.253	71	140	David Bařina
95	1735519168865914451271	177277029166395089012736925130207466469456	0.059	71	138	David Bařina
94	1378299700343633691495	146323898913724962892154638143488597621248	0.077	71	137	David Bařina
93	274133054632352106267	113298124744388651798242538014293435290632	1.508	68	137	David Bařina
92	71149323674102624415	9055383924226744340579466230337749396932	1.789	66	133	yoyo@home project
91	55247846101001863167	964385262182693753484691749002792632456	0.316	66	130	yoyo@home project
90	48503373501652785087	593393421816294729494460596878576979284	0.252	66	129	yoyo@home project
89	35136221158664800255	184205090392973641269559856133660428872	0.149	65	128	yoyo@home project
88	1980976057694848447	64024667322193133530165877294264738020	16.315	61	126	Tomás Oliveira e Silva
87	1038743969413717663	319391343969356241864419199325107352	0.296	60	118	Tomás Oliveira e Silva
86	891563131061253151	280493806694884058606277170574851524	0.353	60	118	Tomás Oliveira e Silva
85	628226286374752923	62536321776054750010410338086629508	0.158	60	116	Tomás Oliveira e Silva
84	562380758422254271	13437895949925724698230081768463808	0.042	59	114	Tomás Oliveira e Silva
83	484549993128097215	8665503693066416873780213986553668	0.037	59	113	Tomás Oliveira e Silva
82	255875336134000063	4830857225169174231293987863972468	0.074	58	112	Eric Roosendaal
81	212581558780141311	4353436332008631522202821543171376	0.096	58	112	Eric Roosendaal
80	172545331199510631	4236179082564025237818370536113560	0.142	58	112	Eric Roosendaal
79	93264792503458119	4230725549373731554971726813360064	0.486	57	112	Tomás Oliveira e Silva
78	82450591202377887	1751225500192396394150998842490900	0.258	57	111	Tomás Oliveira e Silva
77	49163256101584231	603506208138015336516148529351572	0.250	56	109	Tomás Oliveira e Silva
76	10709980568908647	350589187937078188831873920282244	3.056	54	109	Tomás Oliveira e Silva
75	8562235014026655	26942114016703358404007889376672	0.368	53	105	Tomás Oliveira e Silva
74	5323048232813247	3929460878594911451658957991888	0.139	53	102	Tomás Oliveira e Silva
73	1254251874774375	3646072622928560527441864282048	2.318	51	102	Tomás Oliveira e Silva
72	737482236053119	75369331597564893380215011856	0.139	50	96	Tomás Oliveira e Silva
71	613450176662511	45762883485945724291985239552	0.122	50	96	Tomás Oliveira e Silva
70	406738920960667	25601393410042456822885239364	0.155	49	95	Tomás Oliveira e Silva
69	394491988532895	12108564226454891009213839300	0.078	49	94	Tomás Oliveira e Silva
68	291732129855135	7075117872267453520486656928	0.083	49	93	Tomás Oliveira e Silva
67	265078413377535	5714408156157933111695433652	0.081	48	93	Tomás Oliveira e Silva
66	201321227677935	5273951024177606003893970416	0.130	48	93	Tomás Oliveira e Silva
65	116050121715711	2530584067833784961226236392	0.188	47	92	Tomás Oliveira e Silva
64	64848224337147	1274106920208158465786267728	0.303	46	91	Tomás Oliveira e Silva
63	9016346070511	252229527183443335194424192	3.103	44	88	Leavens & Vermeulen
62	3716509988199	207936463344549949044875464	15.054	42	88	Leavens & Vermeulen
61	2674309547647	770419949849742373052272	0.108	42	80	Leavens & Vermeulen
60	871673828443	400558740821250122033728	0.527	40	79	Leavens & Vermeulen
59	567839862631	100540173225585986235988	0.312	40	77	Leavens & Vermeulen
58	446559217279	39533276910778060381072	0.198	39	76	Leavens & Vermeulen
57	272025660543	21948483635670417963748	0.297	38	75	Leavens & Vermeulen
56	231913730799	2190343823882874513556	0.041	38	71	Leavens & Vermeulen
55	204430613247	1415260793009654991088	0.034	38	71	Leavens & Vermeulen
54	110243094271	1372453649566268380360	0.113	37	71	Leavens & Vermeulen
53	77566362559	916613029076867799856	0.152	37	70	Leavens & Vermeulen
52	70141259775	420967113788389829704	0.086	37	69	Leavens & Vermeulen
51	59436135663	205736389371841852168	0.058	36	68	Leavens & Vermeulen
50	59152641055	151499365062390201544	0.043	36	68	Leavens & Vermeulen
49	51739336447	114639617141613998440	0.043	36	67	Leavens & Vermeulen
48	45871962271	82341648902022834004	0.039	36	67	Leavens & Vermeulen
47	23035537407	68838156641548227040	0.130	35	66	Leavens & Vermeulen
46	12327829503	20722398914405051728	0.136	34	65	Leavens & Vermeulen
45	8528817511	18144594937356598024	0.249	33	64	Leavens & Vermeulen
44	1410123943	7125885122794452160	3.584	31	63	
43	319804831	1414236446719942480	13.828	29	61	
42	210964383	6404797161121264	0.144	28	53	
41	120080895	3277901576118580	0.227	27	52	
40	80049391	2185143829170100	0.341	27	51	
39	38595583	474637698851092	0.319	26	49	
38	19638399	306296925203752	0.794	25	49	
37	6631675	60342610919632	1.372	23	46	
36	6416623	4799996945368	0.117	23	43	
35	5656191	2412493616608	0.075	23	42	
34	4637979	1318802294932	0.061	23	41	
33	3873535	858555169576	0.057	22	40	
32	3041127	622717901620	0.067	22	40	
31	2684647	352617812944	0.049	22	39	
30	2643183	190459818484	0.027	22	38	
29	1988859	156914378224	0.040	21	38	
28	1875711	155904349696	0.044	21	38	
27	1441407	151629574372	0.073	21	38	
26	1212415	139646736808	0.095	21	38	
25	1042431	90239155648	0.083	20	37	
24	704511	56991483520	0.115	20	36	
23	665215	52483285312	0.119	20	36	
22	270271	24648077896	0.337	19	35	
21	159487	17202377752	0.676	18	35	
20	138367	2798323360	0.146	18	32	
19	113383	2482111348	0.193	17	32	
18	77671	1570824736	0.260	17	31	
17	60975	593279152	0.160	16	30	
16	31911	121012864	0.119	15	27	
15	26623	106358020	0.150	15	27	
14	20895	50143264	0.115	15	26	
13	9663	27114424	0.290	14	25	
12	4591	8153620	0.387	13	23	
11	4255	6810136	0.376	13	23	
10	1819	1276936	0.386	11	21	
9	703	250504	0.507	10	18	
8	639	41524	0.102	10	16	
7	447	39364	0.197	9	16	
6	255	13120	0.202	8	14	
5	27	9232	12.664	5	14	
4	15	160	0.711	4	8	
3	7	52	1.061	3	6	
